[DEBUG][2020-02-20 22:08:48,278][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:48,282][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:48,532][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:48,537][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:48,787][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:48,792][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:49,052][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:49,057][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:49,335][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:49,340][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:49,592][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:49,598][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:49,848][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:49,854][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:50,103][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:50,109][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:50,360][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:50,366][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:50,615][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:50,621][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:50,871][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:50,877][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:51,128][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:51,134][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:51,386][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:51,392][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:51,643][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:51,649][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:51,901][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:51,907][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:52,156][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:52,162][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:52,422][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:52,428][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:52,680][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:52,687][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:52,937][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:52,943][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:53,194][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:53,200][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:53,451][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:53,457][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
